,State Name,County,Year,Population,FIPS,State Abbr,_merge
109,Alabama,Bullock County,2009.0,10987,1011,AL,both
110,Alabama,Bullock County,2010.0,10876,1011,AL,both
111,Alabama,Bullock County,2011.0,10675,1011,AL,both
112,Alabama,Bullock County,2012.0,10606,1011,AL,both
113,Alabama,Bullock County,2013.0,10549,1011,AL,both
114,Alabama,Bullock County,2014.0,10663,1011,AL,both
115,Alabama,Bullock County,2015.0,10400,1011,AL,both
116,Alabama,Bullock County,2016.0,10389,1011,AL,both
117,Alabama,Bullock County,2017.0,10176,1011,AL,both
118,Alabama,Bullock County,2018.0,10174,1011,AL,both
119,Alabama,Bullock County,2019.0,10101,1011,AL,both
120,Alabama,Butler County,2000.0,21325,1013,AL,both
121,Alabama,Butler County,2001.0,21139,1013,AL,both
122,Alabama,Butler County,2002.0,20803,1013,AL,both
123,Alabama,Butler County,2003.0,20833,1013,AL,both
124,Alabama,Butler County,2004.0,20870,1013,AL,both
125,Alabama,Butler County,2005.0,20830,1013,AL,both
126,Alabama,Butler County,2006.0,20815,1013,AL,both
127,Alabama,Butler County,2007.0,20894,1013,AL,both
128,Alabama,Butler County,2008.0,20949,1013,AL,both
129,Alabama,Butler County,2009.0,20867,1013,AL,both
130,Alabama,Butler County,2010.0,20932,1013,AL,both
131,Alabama,Butler County,2011.0,20866,1013,AL,both
132,Alabama,Butler County,2012.0,20670,1013,AL,both
133,Alabama,Butler County,2013.0,20356,1013,AL,both
134,Alabama,Butler County,2014.0,20327,1013,AL,both
135,Alabama,Butler County,2015.0,20162,1013,AL,both
136,Alabama,Butler County,2016.0,20012,1013,AL,both
137,Alabama,Butler County,2017.0,19888,1013,AL,both
138,Alabama,Butler County,2018.0,19631,1013,AL,both
139,Alabama,Butler County,2019.0,19448,1013,AL,both
140,Alabama,Calhoun County,2000.0,111081,1015,AL,both
141,Alabama,Calhoun County,2001.0,111266,1015,AL,both
142,Alabama,Calhoun County,2002.0,111625,1015,AL,both
143,Alabama,Calhoun County,2003.0,112705,1015,AL,both
144,Alabama,Calhoun County,2004.0,113462,1015,AL,both
145,Alabama,Calhoun County,2005.0,114477,1015,AL,both
146,Alabama,Calhoun County,2006.0,115388,1015,AL,both
147,Alabama,Calhoun County,2007.0,116211,1015,AL,both
148,Alabama,Calhoun County,2008.0,117274,1015,AL,both
149,Alabama,Calhoun County,2009.0,118363,1015,AL,both
150,Alabama,Calhoun County,2010.0,118408,1015,AL,both
151,Alabama,Calhoun County,2011.0,117744,1015,AL,both
152,Alabama,Calhoun County,2012.0,117190,1015,AL,both
153,Alabama,Calhoun County,2013.0,116471,1015,AL,both
154,Alabama,Calhoun County,2014.0,115917,1015,AL,both
155,Alabama,Calhoun County,2015.0,115469,1015,AL,both
156,Alabama,Calhoun County,2016.0,114973,1015,AL,both
157,Alabama,Calhoun County,2017.0,114710,1015,AL,both
158,Alabama,Calhoun County,2018.0,114331,1015,AL,both
159,Alabama,Calhoun County,2019.0,113605,1015,AL,both
160,Alabama,Chambers County,2000.0,36571,1017,AL,both
161,Alabama,Chambers County,2001.0,36274,1017,AL,both
162,Alabama,Chambers County,2002.0,35965,1017,AL,both
163,Alabama,Chambers County,2003.0,35680,1017,AL,both
164,Alabama,Chambers County,2004.0,35463,1017,AL,both
165,Alabama,Chambers County,2005.0,35279,1017,AL,both
166,Alabama,Chambers County,2006.0,34945,1017,AL,both
167,Alabama,Chambers County,2007.0,34847,1017,AL,both
168,Alabama,Chambers County,2008.0,34563,1017,AL,both
169,Alabama,Chambers County,2009.0,34384,1017,AL,both
170,Alabama,Chambers County,2010.0,34122,1017,AL,both
171,Alabama,Chambers County,2011.0,34033,1017,AL,both
172,Alabama,Chambers County,2012.0,34104,1017,AL,both
173,Alabama,Chambers County,2013.0,34139,1017,AL,both
174,Alabama,Chambers County,2014.0,33977,1017,AL,both
175,Alabama,Chambers County,2015.0,33996,1017,AL,both
176,Alabama,Chambers County,2016.0,33745,1017,AL,both
177,Alabama,Chambers County,2017.0,33707,1017,AL,both
178,Alabama,Chambers County,2018.0,33600,1017,AL,both
179,Alabama,Chambers County,2019.0,33254,1017,AL,both
180,Alabama,Cherokee County,2000.0,24006,1019,AL,both
181,Alabama,Cherokee County,2001.0,24182,1019,AL,both
182,Alabama,Cherokee County,2002.0,24403,1019,AL,both
183,Alabama,Cherokee County,2003.0,24591,1019,AL,both
184,Alabama,Cherokee County,2004.0,24887,1019,AL,both
185,Alabama,Cherokee County,2005.0,25031,1019,AL,both
186,Alabama,Cherokee County,2006.0,25466,1019,AL,both
187,Alabama,Cherokee County,2007.0,25553,1019,AL,both
188,Alabama,Cherokee County,2008.0,25636,1019,AL,both
189,Alabama,Cherokee County,2009.0,25854,1019,AL,both
190,Alabama,Cherokee County,2010.0,25963,1019,AL,both
191,Alabama,Cherokee County,2011.0,25989,1019,AL,both
192,Alabama,Cherokee County,2012.0,25958,1019,AL,both
193,Alabama,Cherokee County,2013.0,26017,1019,AL,both
194,Alabama,Cherokee County,2014.0,25895,1019,AL,both
195,Alabama,Cherokee County,2015.0,25732,1019,AL,both
196,Alabama,Cherokee County,2016.0,25768,1019,AL,both
197,Alabama,Cherokee County,2017.0,25805,1019,AL,both
198,Alabama,Cherokee County,2018.0,26014,1019,AL,both
199,Alabama,Cherokee County,2019.0,26196,1019,AL,both
200,Alabama,Chilton County,2000.0,39897,1021,AL,both
201,Alabama,Chilton County,2001.0,40197,1021,AL,both
202,Alabama,Chilton County,2002.0,40683,1021,AL,both
203,Alabama,Chilton County,2003.0,41079,1021,AL,both
204,Alabama,Chilton County,2004.0,41534,1021,AL,both
205,Alabama,Chilton County,2005.0,41946,1021,AL,both
206,Alabama,Chilton County,2006.0,42318,1021,AL,both
207,Alabama,Chilton County,2007.0,42881,1021,AL,both
208,Alabama,Chilton County,2008.0,43239,1021,AL,both
209,Alabama,Chilton County,2009.0,43484,1021,AL,both
210,Alabama,Chilton County,2010.0,43653,1021,AL,both
211,Alabama,Chilton County,2011.0,43689,1021,AL,both
212,Alabama,Chilton County,2012.0,43582,1021,AL,both
213,Alabama,Chilton County,2013.0,43628,1021,AL,both
214,Alabama,Chilton County,2014.0,43760,1021,AL,both
215,Alabama,Chilton County,2015.0,43700,1021,AL,both
216,Alabama,Chilton County,2016.0,43866,1021,AL,both
217,Alabama,Chilton County,2017.0,44120,1021,AL,both
218,Alabama,Chilton County,2018.0,44163,1021,AL,both
219,Alabama,Chilton County,2019.0,44428,1021,AL,both
220,Alabama,Choctaw County,2000.0,15875,1023,AL,both
221,Alabama,Choctaw County,2001.0,15677,1023,AL,both
222,Alabama,Choctaw County,2002.0,15367,1023,AL,both
223,Alabama,Choctaw County,2003.0,15199,1023,AL,both
224,Alabama,Choctaw County,2004.0,14930,1023,AL,both
225,Alabama,Choctaw County,2005.0,14545,1023,AL,both
226,Alabama,Choctaw County,2006.0,14431,1023,AL,both
227,Alabama,Choctaw County,2007.0,14216,1023,AL,both
228,Alabama,Choctaw County,2008.0,14114,1023,AL,both
229,Alabama,Choctaw County,2009.0,13976,1023,AL,both
230,Alabama,Choctaw County,2010.0,13849,1023,AL,both
231,Alabama,Choctaw County,2011.0,13609,1023,AL,both
232,Alabama,Choctaw County,2012.0,13563,1023,AL,both
233,Alabama,Choctaw County,2013.0,13397,1023,AL,both
234,Alabama,Choctaw County,2014.0,13317,1023,AL,both
235,Alabama,Choctaw County,2015.0,13231,1023,AL,both
236,Alabama,Choctaw County,2016.0,13045,1023,AL,both
237,Alabama,Choctaw County,2017.0,12925,1023,AL,both
238,Alabama,Choctaw County,2018.0,12833,1023,AL,both
239,Alabama,Choctaw County,2019.0,12589,1023,AL,both
240,Alabama,Clarke County,2000.0,27819,1025,AL,both
241,Alabama,Clarke County,2001.0,27624,1025,AL,both
242,Alabama,Clarke County,2002.0,27267,1025,AL,both
